"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.789246535"," 144.98331792","Eucalyptus","E. botryoides",95,NA,NA,NA,25,"Southern Mahogany","park",110,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Particularly Old, Outstanding Size","100+ years"
"-37.785741897"," 144.98417445","Eucalyptus","E. camaldulensis",110,NA,NA,NA,26,"River Red Gum","park",111,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Remnant, Particularly Old, Outstanding Size","100+ years"
"-37.787021864"," 144.98263939","Ulmus","U. x hollandica",99,NA,NA,NA,23,"Dutch Elm","park",113,NA,"Mature",NA,"2012-09-20",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context, Environmental Value","100+ years"
"-37.787391835"," 144.98532498","Quercus","Q. robur",52,NA,NA,NA,12,"English Oak","park",114,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context","100+ years"
"-37.787753348"," 144.98410966","Quercus","Q. robur",72,NA,NA,NA,16,"English Oak","park",115,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context","100+ years"
"-37.787730478"," 144.98461372","Eucalyptus","E. botryoides",113,NA,NA,NA,28,"Southern Mahogany","park",116,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 ALFRED CRESCENT, FITZROY NORTH, 3068","Outstanding Size, Particularly Old","100+ years"
"-37.78688208"," 144.98242882","Ulmus","U. x hollandica",77,NA,NA,NA,23,"Dutch Elm","park",117,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.786848148"," 144.98171166","Ulmus","U. x hollandica",69,NA,NA,NA,20,"Dutch Elm","park",118,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Size, Location of Landscape Context","100+ years"
"-37.786848148"," 144.98171166","Quercus","Q. ilex",145,NA,NA,NA,20,"Holm Oak","park",119,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Rare or Localised, Horticultural Value","100+ years"
"-37.787420819"," 144.98134393","Quercus","Q. ilex",177,NA,NA,NA,20,"Holm Oak","park",120,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Outstanding Example of the Species, Outstanding Size, Particularly Old","100+ years"
"-37.788161177"," 144.98628092","Eucalyptus","E. botryoides",136,NA,NA,NA,28,"Southern Mahogany","park",121,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"0 FREEMAN STREET, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size, Particularly Old","100+ years"
"-37.788161177"," 144.98628092","Washingtonia","W. robusta",60,NA,NA,NA,22,"Mexican Fan Palm","residential",122,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"79 ALFRED CRESCENT, FITZROY NORTH, 3068","Particularly Old, Outstanding Size, Location of Landscape Context","100+ years"
"-37.786233791"," 144.98163948","Phoenix","P. canariensis",70,NA,NA,NA,15,"Canary Island Date Palm","residential",123,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"79 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.788634285"," 144.99763576","Ulmus","U. minor 'Atinia'",70,NA,NA,NA,16,"English Elm","street",124,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"165 ALFRED CRESCENT, FITZROY NORTH, 3068","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.786469032"," 144.99288336","Ulmus","U. minor 'Atinia'",77,NA,NA,NA,16,"English Elm","street",125,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"2 RUSHALL CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context, Particularly Old","100+ years"
"-37.785067966"," 144.99197608","Magnolia","M. grandiflora",86,NA,NA,NA,12,"Bull Bay","residential",126,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Particularly Old, Aesthetic Value","81-100 years"
"-37.785737196"," 144.99212552","Ulmus","U. minor 'Atinia'",146,NA,NA,NA,20,"English Elm","residential",127,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Significant Habitat Value, Outstanding Size, Particularly Old, Location of Landscape Context","100+ years"
"-37.785737196"," 144.99212552","Cupressus","C. sempervirens",120,NA,NA,NA,17,"Italian Cypress","residential",128,NA,"Mature",NA,"2012-09-24",NA,NA,NA,NA,"20 RUSHALL CRESCENT, FITZROY NORTH, 3068","Location of Landscape Context, Outstanding Size, Particularly Old","100+ years"
